reference,name,description,reason,organisation,notes,entry-date,start-date,end-date
U0118473,Biodiversity Net Gain,"Prior to the commencement of development, a Management and Monitoring Plan for proposed onsite habitats shall be submitted to and approved in writing by the Local Planning Authority. The Plan shall be based on the proposals set out in the Ecological Impact Assessment (MBE/ECO/2023/18/01). The Management and Monitoring plan shall detail the following:

- Objectives relating to the timescales in which it is expected progress towards meeting target habitat conditions will be achieved.
- A commitment to adaptive management that allows a review of the management plan to be undertaken and changes implemented if agreed in writing by the LPA and if monitoring shows that progress towards target conditions is not progressing as set out in the agreed objectives.
- That monitoring reports shall be provided to the LPA on the 1st November of each year of monitoring (Years 1, 2, and 5) immediately following habitat creation. 

Once approved in writing the management measures and monitoring plans shall be carried out as agreed.",To fulfil the requirements of Policy 30(B) of the Local Plan and enhance local ecological networks in accordance with Policy 29 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0118474,Bat License,"Prior to the commencement of any development, the Local Planning Authority must be provided with evidence of the European Protected Species licence approval from Natural England.","To ensure the ecological interests of the site are maintained in accordance with Policy 30 of the Local Plan, and that no offence is committed in respect of protected species legislation.",local-authority: DNC,Unique Condition,,,
U0118475,Ecological Enhancement Plan,"Prior to the commencement of development, an ecological enhancement plan shall be submitted to and approved in writing by the Local Planning Authority. This plan shall include details of measures indicated in the Ecological Impact Assessment (MBE/ECO/2023/18/01) at paragraphs 6.4.22 - 25, all of which shall be implemented prior to the first occupation of the site.",To ensure the ecological interests of the site are maintained in accordance with Policy 29 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0118476,Biodiversity Method Statement,"Prior to the commencement of development, a method statement detailing biosecurity protocol for the treatment and eradication of invasive non-native species shall be submitted to and approved in writing by the Local Planning Authority.",To ensure adherence to environmental legislation and protect adjoining Local Wildlife Sites.,local-authority: DNC,Unique Condition,,,
U0118477,CEMP,"Prior to the commencement of development, a Construction Environmental Management Plan based on the measures set out in section 6.4 of the EcIA (Middleton Bell Ref:: MBE/ECO/2023/18/01) shall be submitted to and approved in writing by the Local Planning Authority. This must include:

- A risk assessment of the potentially damaging construction activities in relation to wildlife and habitats.
- A method statement for the protection of reptiles and other terrestrial and aquatic fauna that may be encountered on site.
- Measures to protect adjacent and nearby Local Wildlife Sites. 
- Measures to protect the Mother Drain from pollution.
- The use of protective fencing, exclusion barriers and wildlife safety measures
- Naming responsible persons to ensure legislative and policy compliance during construction activities.

The development shall thereafter be carried out in accordance with the approved details.",To ensure the ecological interests of the site are maintained in accordance with Policies 29 and 30 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0118478,Tree Protection,The development hereby granted shall not be commenced nor materials or machinery brought onto the site until the trees which it has been agreed shall be retained are fenced off in accordance with a scheme that has been submitted to and approved in writing by the Local Planning Authority. The works shall thereafter be carried out in accordance with the approved scheme.,To ensure that trees are protected from damage during construction.,local-authority: DNC,Unique Condition,,,
U0118479,Soft Landscaping,"No development shall take place on the site until details of a landscaping/planting scheme have been submitted to and agreed in writing with the Local Planning Authority. This scheme shall indicate all existing trees and hedgerows on the site, showing their respective size, species and condition. It shall distinguish between those which are to be retained, those proposed for removal and those requiring surgery. The scheme should also indicate, where appropriate, full details of new or replacement planting. Planting shall take place in the first suitable planting season, following the commencement of the development. Any tree or shrub planted in accordance with the scheme and becoming damaged, diseased, dying or removed within five years of planting shall be replaced in accordance with the above document.",To ensure that a suitable soft landscaping scheme is provided.,local-authority: DNC,Unique Condition,,,
U0118480,PD Rights Restriction,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 1 (or any subsequent order or statutory provision revoking or re-enacting that order) no additions, extensions or other alterations other than that expressly authorised by this permission shall be carried out without prior permission of the local planning authority.",The local planning authority considers that further development could cause detriment to the character of the area and for this reason would wish to control any future development to comply with Policy 25 of the Doncaster Local Plan.,local-authority: DNC,Unique Condition,,,
U0118481,PD Rights Restriction - Outbuildings,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 1 (or any subsequent order or statutory provision revoking or re-enacting that order) no development shall be carried out on any part of the land other than that hereby permitted without the prior permission of the local planning authority.",The local planning authority considers that further development could cause detriment to the character of the area and for this reason would wish to control any future development to comply with Policy 25 of the Doncaster Local Plan.,local-authority: DNC,Unique Condition,,,
U0118482,PD Rights Restriction - Bdary Treatments,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2: Part 2 (or any subsequent order or statutory provision revoking or re-enacting that order) no walls, fences or other means of enclosure shall be erected on land between the walls of any dwellings fronting a highway and the highway boundary without the prior permission of the local planning authority.",The local planning authority considers that further development could cause detriment to the character of the area and for this reason would wish to control any future development to comply with Policy 25 of the Doncaster Local Plan.,local-authority: DNC,Unique Condition,,,
U0118536,Amended/approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the amended/approved plans listed below:

Amended plan:
Title: Proposed Site Plan.
Date: Dec 23.
Project No: 231127.
Number: 02.
Rev: A.
Received by City of Doncaster Council on the 24.01.2024.

Approved plans:
Title: Proposed Plans.
Date: Dec 23.
Project No: 231127.
Number: 05.

Title: Proposed Elevations.
Date: Dec 23.
Project No: 231127.
Number: 06.",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0118542,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Site Plan - Drawing No PL002 REV A - received 07/02/2024
Existing & Proposed Plans - Drawing No PL001 - received 12/12/2023
Proposed Floor Plans - Drawing No PL003 - received 12/12/2023",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0118543,Stonework,"The external walls of the building hereby approved shall be constructed of limestone and samples of the stone to be used, including any stone for any window heads and sills shall be submitted to and approved by the local planning authority. The relevant site works shall only take place when a one- metre square sample parcel of stonework showing the pointing and coursing to be used in the construction of the building has been constructed.",In the interests of the character of the Conservation Area and in accordance with Policy 37 of the Doncaster Local Plan,local-authority: DNC,Unique Condition,,,
U0118544,Windows and Doors,"Before the commencement of the relevant site works full details of the design, materials, construction and finish of any new doors (including garage doors) and windows to the development hereby approved shall be submitted to and approved in writing by the local planning authority. Unless otherwise agreed in writing the details shall include an elevation of 1:20 scale of each window type and 1:5 scale cross section. Development shall be carried out in accordance with the approved details.",In the interests of the character of the Conservation Area and in accordance with Policy 37 of the Doncaster Local Plan,local-authority: DNC,Unique Condition,,,
U0118545,Roof lights,The rooflight hereby permitted shall be low profile conservation rooflight with a central vertical glazing bar. Details of the make and model of the rooflight s to be installed on the building hereby approved shall be submitted to and approved in writing by the local planning authority prior to implementation of the relevant works. Development shall be carried out in accordance with the approved details.,In the interests of the character of the Conservation Area and in accordance with Policy 37 of the Doncaster Local Plan.,local-authority: DNC,Unique Condition,,,
U0118546,Landscaping,"No development shall take place on the site until a detailed soft landscape scheme has been submitted to and approved in writing by the Local Planning Authority. The scheme shall include a soft landscape plan, a schedule providing plant and tree numbers and details of the species, nursery stock specification in accordance with British Standard 3936: 1992 Nursery Stock Part One and planting distances of trees and shrubs, and BS8545:2014 Trees: from nursery to independence in the landscape; a specification of planting and staking/guying; a timescale of implementation and details of aftercare for a minimum of 5 years following practical completion of the landscape works. Thereafter the landscape scheme shall be implemented in full accordance with the approved details and the Local Planning Authority notified in writing within 7 working days to approve practical completion of the planting. Any part of the scheme which fails to achieve independence in the landscape or is damaged or removed within five years of planting shall be replaced during the next available planting season in full accordance with the approved scheme unless the local planning authority gives its written approval to any variation.",In the interests of environmental quality and in accordance with Policy 48 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0118547,Ecological Enhancements,"Within two months of the commencement of development, an ecological enhancement plan shall be submitted to the local planning authority for approval in writing. This plan shall include details of the following measures, all of which shall be implemented prior to the first occupation of the site or an alternative timescale to be approved in writing with the local planning authority: Photographic evidence of implementation must be submitted to the Local Planning Authority. 

1 x bat box of the Vivaro Pro Build-In Bat Tube type or similar to be located in accordance with instructions from a suitably qualified ecologist.

1x swift box of the integrated WoodStone type or similar to be located in accordance with instructions from a suitably qualified ecologist.

Small mammal access holes 13x13cm to be located on two sides in any fencing erected",To ensure the ecological interests of the site are maintained in accordance with Local Plan policy 29,local-authority: DNC,Unique Condition,,,
U0118548,Drive surfacing.,"Before the development is brought into use, that part of the site to be used by vehicles shall be suitably surfaced in accordance with the details shown on the approved site plan which shall be approved by the Local Planning Authority. This shall include within it, but not be limited to, the method for undertaking the 'no-dig' widening of the access as shown on the approved plan Ref: PL002 Rev A. The works shall be carried out in accordance with the approved details.",To ensure adequate provision for the disposal of surface water and ensure that the use of the land will not give rise to mud hazards at entrance/exit points in the interests of public safety and to ensure protection of the tree root protection area.,local-authority: DNC,Unique Condition,,,
U0118549,Obscure glazing,"Before the first occupation of the building/extension hereby permitted, the windows indicated as bathrooms and ensuites on the approved plans shall be permanently obscure to a level of obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.",To ensure that the development does not impact on the privacy of the adjoining premises.,local-authority: DNC,Unique Condition,,,
U0118561,Amended/approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the amended/approved plans and specifications:

Amended plan:
Title: Block Plan (Proposed Site Plan).
Scale: 1:500.
Received by City of Doncaster Council on the 07.02.2024 (Shows tarmac either side of pavement).",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0118571,Start date,The development to which this permission relates must be begun not later than whichever is the later of the following dates:- i) 29th May 2024 or ii) The expiration of two years from the final approval of the reserved matters or in the case of different dates the final approval of the last such matter to be approved.,Condition required to be imposed by Section 92 (as amended) of the Town and Country Planning Act 1990.,local-authority: DNC,Unique Condition,,,
U0118572,Submission of reserved matters,Application for approval of reserved matters for all further phases of development must be made not later than 29th May 2029.,Condition required to be imposed by Section 92 (as amended) of the Town and Country Planning Act 1990.,local-authority: DNC,Unique Condition,,,
U0118573,Matters reserved,"Approval of the details of the layout, scale, appearance and landscaping of the site (hereinafter referred to as reserved matters) for each phase of development shall be obtained from the Local Planning Authority before the commencement of any works for that phase.",The application is in outline and no details having yet been furnished of the matters referred to in the outline they are reserved for subsequent approval by the Local Planning Authority.,local-authority: DNC,Unique Condition,,,
U0118574,In accordance with plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:
Drawing number 01 Revision A dated 09.10.2018 (Location Plan)
Drawing number 004 dated 09.08.23 (Parameters Plan)
Drawing number 402 Rev B (Phasing Plan)",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0118575,Air Quality Mitigation Plan,"Prior to the occupation of any dwellings on any phase of development on site, an air quality mitigation plan shall be submitted to and approved in writing by the local planning authority. This plan shall demonstrate how the damage costs have been utilised to offset vehicle emissions during the lifetime of the development. Measures in any mitigation plan should be in addition to those provided as a requirement for other planning matters. The mitigation plan shall be implemented in accordance with a timescale to be agreed with the local planning authority.",To contribute towards a reduction in emissions in accordance with air quality objectives and providing sustainable travel choice.,local-authority: DNC,Unique Condition,,,
U0118576,Drainage,Details of the foul and surface water drainage systems for each phase of development shall be submitted to and approved by the Local Planning Authority and shall take place as approved prior to their installation on site. These works shall be carried out concurrently with the development.,To ensure that the site is connected to suitable drainage systems.,local-authority: DNC,Unique Condition,,,
U0118577,Scheme for protection of trees,"Prior to the commencement of each phase of the development hereby granted, a scheme for the protection of all retained trees for that phase shall be submitted to the local planning authority. No equipment, machinery or materials shall be brought onto site for the purposes of the development until the local planning authority has approved the setting out of the tree protection barriers on the site. Thereafter, and throughout the period of construction, all tree protection shall be maintained in full accordance with the approved details until all equipment, machinery and surplus materials associated with the construction have been removed from the site. Nothing shall be stored or placed in any area fenced in accordance with this condition and the ground levels within those areas shall not be altered, nor shall any excavation be made, without the written consent of the local planning authority.",To ensure that all trees are protected from damage during construction.,local-authority: DNC,Unique Condition,,,
U0118578,Contamination,"No phase of development approved by this permission shall be commenced prior to a contaminated land assessment and associated remedial strategy, together with a timetable of works, being accepted and approved by the Local Planning Authority (LPA), unless otherwise approved in writing with the LPA. Thereafter development shall take place as approved.

a) The Phase I desktop study, site walkover and initial assessment must be submitted to the LPA for approval. Potential risks to human health, property (existing or proposed) including buildings, livestock, pets, crops, woodland, service lines and pipes, adjoining ground, groundwater, surface water, ecological systems, archaeological sites and ancient monuments must be considered. The Phase 1 shall include a full site history, details of a site walkover and initial risk assessment. The Phase 1 shall propose further Phase 2 site investigation and risk assessment works, if appropriate, based on the relevant information discovered during the initial Phase 1 assessment.

b) The Phase 2 site investigation and risk assessment, if appropriate, must be approved by the LPA prior to investigations commencing on site. The Phase 2 investigation shall include relevant soil, soil gas, surface and groundwater sampling and shall be carried out by a suitably qualified and accredited consultant/contractor in accordance with a quality assured sampling and analysis methodology and current best practice. All the investigative works and sampling on site, together with the results of analysis, and risk assessment to any receptors shall be submitted to the LPA for approval.

c) If as a consequence of the Phase 2 Site investigation a Phase 3 remediation report is required, then this shall be approved by the LPA prior to any remediation commencing on site. The works shall be of such a nature as to render harmless the identified contamination given the proposed end-use of the site and surrounding environment including any controlled waters, the site must not qualify as
contaminated land under Part 2A of the Environment Protection Act 1990 in relation to the intended use of the land after remediation.

d) The approved Phase 3 remediation works shall be carried out in full on site under a quality assurance scheme to demonstrate compliance with the proposed methodology and best practice guidance. The LPA must be given two weeks written notification of commencement of the remediation scheme works. If during the works, contamination is encountered which has not previously been identified, then all associated works shall cease until the additional contamination is fully assessed and an appropriate remediation scheme approved by the LPA.

e) Upon completion of the Phase 3 works, a Phase 4 verification report shall be submitted to and approved by the LPA. The verification report shall include details of the remediation works and quality assurance certificates to show that the works have been carried out in full accordance with the approved methodology. Details of any post-remedial sampling and analysis to show the site has reached the required clean-up criteria shall be included in the verification report together with the necessary documentation detailing what waste materials have been removed from the site. The site shall not be brought into use until all verification data has been approved by the LPA.",To secure the satisfactory development of the site in terms of human health and the wider environment pursuant to the National Planning Policy Framework. This has to be prior to commencement so that any risks are assessed before works begin to the ground whether this be demolition works or construction works and remediation in place before works begin.,local-authority: DNC,Unique Condition,,,
U0118579,Soils brought to the site,"Any soil or soil forming materials brought to site for use in garden areas, soft landscaping, filing and level raising shall be tested for contamination and suitability for use on site. Proposals for contamination testing including testing schedules, sampling frequencies and allowable contaminant concentrations (as determined by appropriate risk assessment) and source material information shall be submitted to and be approved in writing by the LPA prior to any soil or soil forming materials being brought onto site. The approved contamination testing shall then be carried out and verification evidence submitted to and approved in writing by the LPA prior to any soil and soil forming material being brought on to site.",To secure the satisfactory development of the site in terms of human health and the wider environment and pursuant to guidance set out in the National Planning Policy Framework.,local-authority: DNC,Unique Condition,,,
U0118580,CTMP,"A Construction Traffic Management Plan (CTMP) shall be submitted to and approved by the local planning authority before works commence on each phase of development on the site. The CTMP shall contain information relating to (but not limited to):
Volumes and types of construction vehicles
Identification of delivery routes
Identification of agreed access point
Contractor's method for controlling construction traffic and adherence to routes
Size, route and numbers of abnormal loads
Swept path analysis (as required)
Construction Period
Temporary signage
Measures to control mud and dust being transferred to the public highway
Timing of deliveries
Construction shall thereafter be carried out in accordance with the CTMP.",In order to mitigate the impact of construction traffic generated by the development.,local-authority: DNC,Unique Condition,,,
U0118581,Travel Plan,The development hereby approved shall be carried out in accordance with the measures set out in section 5 of the Travel Plan dated April 2019.,To encourage sustainable modes of travel to the site.,local-authority: DNC,Unique Condition,,,
U0118582,CEMP,The development shall be carried out in accordance with the measures set out in the Construction Environment Management Plan by Brooks Ecological dated August 2021.,To ensure the ecological interests of the site are maintained during the construction period.,local-authority: DNC,Unique Condition,,,
U0118583,Lighting,"On or before submission of a reserved matters application for each phase of development, a lighting design strategy that specifically responds to light sensitive biodiversity shall be submitted to and approved in writing by the local planning authority. The strategy shall use current best practice on lighting and the protection of light sensitive fauna and include:
i) Identification and assessment of the likely presence and location of light sensitive ecological receptors based on survey baseline data in relation to the proposed developments within the site, or part thereof.
ii) Provide for mitigation measures along with technical specifications to reduce /eliminate the impacts of lighting spill on ecological receptors unless otherwise agreed.
The approved lighting design strategy for the site or part thereof shall be implemented and complied with.",To ensure the ecological interests of the site are maintained.,local-authority: DNC,Unique Condition,,,
U0118584,Biodiversity Method Statement,"On or before submission of the reserved matters application for each phase of development, a Biodiversity Method Statement (BMS) including a Biodiversity Mitigation, Monitoring, and Enhancement Plan (BMMEP) shall be submitted and approved in writing by the Local Planning Authority. The BMS and BMMEP shall include;
i) an assessment of baseline conditions set out in the ecological reports and species surveys submitted with the outline application and associated appendices to ensure they are fit for purpose and to identify any additional survey work required to make them as such.
ii) a timetable for survey updates set against the proposed development phasing and the inclusion of contingency measures where there are identified as potentially required for sensitive operations.
iii) the purpose and objectives of the proposed works based on mitigation and compensation measures outlined in biodiversity offsetting proposals, ecological reports and species surveys submitted with the outline application.
iv) scale and location of the proposed works shown clearly on scaled maps and plans
v) Identification of the mitigation and/or compensation areas and features within the site
vi) detailed specifications for biodiversity creation and enhancement works and other ecological features specific to mitigation proposals for habitats, faunal groups and species.
vii) timetable for the implementation based on the phasing proposals.
viii) Initial aftercare and long-term management and maintenance of ecological features including an appropriate monitoring strategy.",To ensure the ecological interests of the site are maintained and that no offence is committed in respect of protected species legislation.,local-authority: DNC,Unique Condition,,,
U0118585,Flood Resilience,"No phase of development approved by this planning permission shall commence until a scheme to ensure the development is flood resilient has been submitted to, and approved in writing by, the local planning authority. The applicant must ensure the development is flood resilient by specifying all finished floor levels and additional flood resilience measures for the development across the site. The
scheme shall be fully implemented and subsequently maintained, in accordance with the scheme's timing/phasing arrangements, or within any other period as may subsequently be agreed, in writing, by the local planning authority.",To reduce the risk of flooding to the proposed development and its future users.,local-authority: DNC,Unique Condition,,,
U0118586,Design Guide,The design guide dated March 2020 shall inform all subsequent reserved matters submissions for development within the site unless otherwise agreed in writing with the local planning authority.,"To ensure a consistent and co-ordinated design approach, in the interests of the satisfactory function and appearance of the development.",local-authority: DNC,Unique Condition,,,
U0118587,106 requirements,"No material operation as defined in Section 56 (4)(a)-(d) of the Town and Country Planning Act 1990, shall be carried out to commence the development pursuant to this planning permission, until a planning obligation pursuant to Section 106 of the said Act relating to the land has been completed. The said planning obligation will provide for:
A) 23 per cent affordable housing provided in accordance with a timetable agreed with the local planning authority.
B) Public open space to the equivalent of 15 per cent of the total site area and provision of a locally equipped area of play and maintenance plan in accordance with a scheme and timetable to be agreed.
C) Contribution to the West Moor Link improvement scheme of £345,578.
D) Monitoring of trip rates for a period of 5 years and a transport bond of £144.87 per dwelling.
E) Provision of a bus shelter on Doncaster Road or a payment of £10,000 in lieu of this.
F) A contribution of £851.46 per dwelling towards education.","To ensure the satisfactory provision of affordable housing, open space, highway mitigation and education provision in accordance with the Council's policies.",local-authority: DNC,Unique Condition,,,
U0118588,Noise mitigation,"Prior to the construction of any dwellings within each phase of the development, a scheme for additional ventilation/glazing and acoustic fencing within that phase, based on the recommendations of the submitted noise survey (Table 4.3 of the WYG noise report Ref: A108704, dated 15th October 2018) shall be submitted to and approved in writing by the local planning authority. Implementation of the
approved scheme shall take place prior to the occupation of any houses within that phase.",To ensure that noise does not affect residents in accordance with guidance set out in the NPPF.,local-authority: DNC,Unique Condition,,,
U0118589,Archaeology,The development shall be carried out in accordance with the Written Scheme of Investigation by maparch (reference VC-4.10.23).,"To ensure that any archaeological remains present are investigated and a proper understanding of their nature, date, extent and significance gained, before those remains are damaged or destroyed and that knowledge gained is then disseminated.",local-authority: DNC,Unique Condition,,,
U0118590,Biodiversity Offsetting,"On submission of any reserved matters applications, a scheme for Biodiversity Offsetting shall be submitted to the LPA. This scheme must apply the mitigation hierarchy and identify the residual impacts that must be compensated for. Using the LPA's or Defra's Biodiversity Offsetting Process, the conservation credits and a means of delivering them either on site or off site shall be submitted for written approval by the LPA. Development shall be carried out in accordance with the approved scheme.",To ensure the ecological interests of the site are maintained.,local-authority: DNC,Unique Condition,,,
U0118606,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Existing Plans including Site and Location Plan. Drawing number: AD_001. Revision 'P1'. Date received: 13/12/2023.

Proposed Plans including Site and Location Plan. Drawing number: AD_002. Revision 'P2'. Date received: 13/12/2023.",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0118607,In accordance with plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:
FLOOR PLANS AND ELEVATIONS AS PROPOSED 22028 102
SITE LOCATION PLAN 22028 103",To ensure that the development is carried out in accordance with the application as approved.,local-authority: DNC,Unique Condition,,,
U0118608,obscure glazing,"The first floor bathroom/shower room windows on the rear elevation shall be glazed using obscured glass to a minimum of level 3 of
the ""Pilkington"" scale of obscuration and shall remain so glazed for the lifetime of the development.",In order to prevent an unacceptable degree of overlooking,local-authority: DNC,Unique Condition,,,
U0118614,Time limit,"The site shall be in use as public open space for a maximum period of 5 years from the date it is first made available to the public. The Local Planning Authority shall be informed of the opening date prior to first use commencing. Within 6 months from the date of this expiry or should any part of the site cease to be used as public open space before that date, a scheme of restoration shall be submitted to the Local Planning Authority to be approved in writing. The scheme shall include details of the following measures:

Landscaping
Equipment
Easement areas to existing site constraints
Boundary treatments
Maintenance strategy

The scheme of restoration shall be carried out within the first available planting season following the approval of details by the Local Planning Authority. The scheme shall be carried out and maintained in accordance with the agreed details.","This condition is imposed because the use of the site for public open space has been approved for a temporary 5 year period, pending redevelopment of the site.",local-authority: DNC,Unique Condition,,,
U0118615,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Location plan received 30.10.23
Doncaster Waterfront Site Remediation Landscape Diagrams Rev 07 received 16.01.24
Design and Access Statement received 30.10.23
Design and Access Statement Addendum received 16.01.24",This condition is imposed to ensure that the development is carried out in accordance with plans and documents as approved.,local-authority: DNC,Unique Condition,,,
U0118616,Contamination - Remediation,"All remedial works shall be in accordance with the Remediation Strategy & Verification Plan (GJ263 (03) R002 RSVP. Oct 2022 & GJ263 Doncaster Waterfront - Specification for Cover Layer. GJ263(05)-L001. January 2023).

a) The approved Phase 3 remediation works shall be carried out in full on site under a quality assurance scheme to demonstrate compliance with the proposed methodology and best practice guidance. Where necessary, the remediation works within the locations as identified within the submitted Waterfront Site Remediation - Utilities Report shall be subject to bespoke remediation measures set out in a remediation works addendum to be submitted to and approved in writing by the Local Planning Authority. The LPA must be given two weeks written notification of commencement of the remediation scheme works. If during the works, contamination is encountered which falls outside the scope of the agreed Remediation Strategy & Verification Plan, then all associated works shall cease until the additional contamination is fully assessed and an appropriate remediation scheme approved by the LPA. 

b) Upon completion of the Phase 3 works, a Phase 4 verification report shall be submitted to and approved by the LPA. The verification report shall include details of the remediation works and quality assurance certificates to show that the works have been carried out in full accordance with the approved methodology. Details of any post-remedial sampling and analysis to show the site has reached the required clean-up criteria shall be included in the verification report together with the necessary documentation detailing what waste materials have been removed from the site. The site shall not be brought into use until such time as all verification data has been approved by the LPA.",This condition is imposed to ensure that the site and future users is protected from contamination as required by Policies 54 and 55 of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0118617,"Construction Management Plan inc. hi,eho","No development, including any works of demolition, shall take place on site until a Construction Traffic Management Plan (CTMP) has been submitted to and approved in writing by the local planning authority. The approved statement shall be adhered to throughout the construction period. The statement shall provide for:

1. The site compound and parking of vehicles for site operatives and visitors
2. Identification of agreed access points and routing from the Classified road network
3. Timings, volumes and types of construction/delivery vehicles (incl abnormal loads with swept path analysis)
4. Contract duration
5. The areas for loading and unloading of plant and materials
6. Storage of plant and materials used in constructing the development
7. The location, erection and maintenance of any security hoarding to be installed
8. Wheel washing facilities (location and type)
9. Temporary signage on the adopted highway
10. Assessment of impact and measures to control noise and vibration from site activities
11. Assessment of impact and measures to control the emission of dust, mud and dirt from the site
12. Assessment of impact and measures to control the emission of volatile organic compounds and odour from the site
13. Details of artificial lighting and mitigation measures
14. Complaints procedure - to detail how a contact number will be advertised to the public, investigation procedure when a complaint is received, any monitoring to be carried out, and what will happen in the event that the complaint is not resolved. 

The development must be carried out in accordance with the Construction Traffic Management Plan for the lifetime of the development.",This condition is to ensure that local amenity is protected as required by Policy 46 of the Local Plan. The condition is required to be satisfied prior to the commencement of development to ensure satisfactory controls are in place from the outset.,local-authority: DNC,Unique Condition,,,
U0118618,CEMP,"Prior to the commencement of development, a Construction Environmental Management Plan (CEMP) relating to biodiversity shall be submitted to and approved in writing by the Local Planning Authority. The CEMP shall cover badgers, bats, birds, amphibians, other terrestrial mammals and reptiles, and shall include:

i) A risk assessment of construction activities in relation to wildlife and habitats informed by the submitted surveys carried out by ECUS ltd and updated protected species surveys where necessary;

ii) Details of all reasonable avoidance measures to be employed on the site;

iii) A lighting plan detailing the specification, location and orientation of the proposed external lighting to avoid disturbance or adverse 
effects on light-sensitive species, including bats;

iv) An invasive species management plan relating to Himalayan Balsam, Buddleia and Horsetail;

v) The use of protective fencing and wildlife safety measures clearly marked on site plans; 

vi) Temporary surface water controls to ensure that no surface water generated during construction of the development are discharged to ground; 

vii Details of any liquid storage tanks and necessary mitigation measures. Any liquid storage tanks should be located within a bund with a capacity of not less than 110% of the largest tank or largest combined volume of connected tanks. 

viii) Plans for a record to be kept by an Ecological Clerk of Works of operations and monitoring activities carried out under the CEMP. 

This record shall be made available to the Local Planning Authority on request both during and after the construction period.

The development shall thereafter be implemented in accordance with the approved CEMP.","This condition is imposed to protect controlled waters, habitats and species on or near the site and to secure the safe removal of invasive species as required by Policies 26, 27, 29, 30 and 54 of the Local Plan. The condition is required to be satisfied prior to the commencement of development to ensure satisfactory controls are in place from the outset.",local-authority: DNC,Unique Condition,,,
U0118619,Drainage - DA01,"No development shall take place on site until details of foul and surface water systems, including outfall and maintenance, and all related works necessary to drain the site have been submitted to and approved by the Local Planning Authority (LPA). These details shall include a drainage management and maintenance plan. These works shall be carried out concurrently with the development prior to first use by members of the public as outlined under condition 1.",This pre-commencement condition is imposed to ensure that the site is connected to suitable drainage systems to satisfy flood and drainage matters in accordance with Policies 55 and 56 of the Local Plan. The condition is required to be satisfied prior to the commencement of development to ensure suitable measures are agreed from the outset.,local-authority: DNC,Unique Condition,,,
U0118620,Habitat Management and Maintenance Plan,"Upon the commencement of development, the development shall be carried out in accordance with the agreed Habitat Management and Maintenance Plan (HMMP) prepared by Ecus ltd. Monitoring reports shall be provided to the Local Planning Authority by the end of years 1,2,5,10,20, and 30 of the monitoring period. The HMMP shall be implemented in full and any subsequent changes to management as a result of findings from the monitoring shall be agreed in writing with the Local Planning Authority.",This condition is imposed to protect and enhance local ecological networks under Policy 29 and provide bio-diversity net gain on the site in accordance with Policy 30.B of the Local Plan.,local-authority: DNC,Unique Condition,,,
U0118621,Public Realm Design,"Prior to the construction of any areas of public realm, details of all external works shall be submitted to and approved in writing by the Local Planning Authority (LPA). Unless otherwise agreed with the LPA, this information should include the following details for all areas within the red line boundary:
	
- Soft landscape details- species stock and planting spec,		
- Hard landscape- surface materials, play equipment, lawn edge design, paving pattern, planters, bins, seating, lighting
- Boundaries, security and walling - boundary treatment, gates,, screen fencing details, security measures;
- Way-finding and signage - road markings, locations and designs for signs, information points and way-finding posts;
	
The development must take place in accordance with the approved details. Any part of the approved details which fail, are damaged or removed within five years of implementation shall be replaced within 4 weeks (for hard landscaping) or during the next available planting season (for soft planting).","This condition is imposed to ensure a satisfactory appearance and quality of development in line with Policies 41, 46 and 47 of the Local Plan.",local-authority: DNC,Unique Condition,,,
