reference,name,description,reason,organisation,notes,entry-date,start-date,end-date
U0109823,Boundary Treatments,"Prior to the first use of the development hereby approved, details of the proposed boundary treatments for the site shall be submitted to and approved in writing by the local planning authority. A plan should indicate the positions, design, materials, height, and type of boundary treatment to be erected on site, including any gates. The development shall be in accordance with the approved details and the boundary treatments shall remain in place for the lifetime of the development.",In the interests of protecting public safety and amenity in accordance with Policy 44 of the Local Plan.,	local-authority:DNC,Unique Condition,,,
U0109824,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Title: 55, Checkstone Avenue, Doncaster, DN4 7JY (Proposed Site Plan).
Scale: 1:500.

Title: Proposed Extension 55, Checkstone Avene, Bessacarr (Side Elevation Proposed, Ground Floor Proposed and First Floor Proposed).

Title: Proposed Extension 55, Checkstone Avenue, Bessacarr (Front Elevation Proposed, Rear Elevation Proposed and Side elevation Proposed).",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109828,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Drawing Title: Site/Block and Location Plan.
Drawing No: YDS-2023-10-03.
Date: April 2023.

Drawing Title: Ground Floor Plans and Elevation AS PROPOSED.
Drawing No: YDS-2023-10-02.
Revision A.
Date: April 2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109830,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed plans: Drawing no. 22-092-04, Revision A as received 25/05/2023
Location Plan: Drawing no. 22-092-01 as received 20/03/2023
Site Plan: Drawing no. 22-092-02, Revision A as received 20/03/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109831,Brick and Tile,"The brick to the new extension shall match that of the host building with regard to its colour, size and bonding; and the roof tile to the extension shall be a red plain tile to match the host building.",To complement the materials of the host building in accordance with Local Plan policy 37.,	local-authority:DNC,Unique Condition,,,
U0109868,British Standard 3998: 2010 Tree Work,"{\b British Standard 3998: 2010 Tree Work - Recommendations}
Tree surgery work shall be carried out in full accordance with the scheme hereby approved and in compliance with clause 7: Pruning and related work of British Standard 3998: 2010 Tree Work - Recommendations.",To ensure that the work is carried out to the appropriate high standard.,	local-authority:DNC,Unique Condition,,,
U0109869,Implementation of approved works,"{\b Implementation of approved works}
The pruning works and soil remediation detailed within arboricultural report (Reference: AWA4434) appendix 5 and arboricultural mitigation report (Reference: AWA5230) shall be undertaken in accordance with the approved plans and particulars. The pruning works shall take place within the next available dormancy period of the trees and the soil remediation works shall take place within the next 3 months, unless as may be specifically agreed in writing with the local planning authority. The local Planning Authority shall be notified in writing within 7 working days of completion of the works to the required standard and the completion shall be subsequently approved in writing by the Local Planning Authority.",In the interests of environmental quality and to ensure that the work is carried out to the appropriate high standard.,	local-authority:DNC,Unique Condition,,,
U0109878,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Existing floor plans and elevations including location plan. Drawing number: DN4 7RB - 1. Date received: 14/04/2023.

Proposed floor plans and elevations including site plan. Drawing number: DN$ 7RB - 2. Date received: 14/04/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109879,Obscure Glazing,"Before the first occupation of the building/extension hereby permitted, the windows serving the ground floor WC as indicated on the approved plans shall be permanently obscure to a level of obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.",To ensure that the development does not impact on the privacy of the adjoining premises.,	local-authority:DNC,Unique Condition,,,
U0109882,Approved Plans,"The development hereby permitted shall be carried out in complete accordance with the details shown on the amended plans referenced and dated as follows:

Site and location plan. Drawing number: DRB 1. Date received: 13/02/2023.

Existing and proposed plans. Drawing number: DRB 2. Date received: 13/02/2023.

Flood Risk Assessment (Dart Engineers Ltd, ref. 23014-FP-001 Revision B, dated April 2023). Date received: 17/04/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109883,Granny Annex,The building/extension hereby permitted shall not be occupied at any time other than for purposes ancillary to the residential use of the main dwelling. The annex shall be occupied by family members of the occupants of the host dwelling only.,To ensure that the building/extension does not become a separate unit and thereby harming the amenity of the main dwelling and the surrounding area. Also to ensure that the main dwelling remains a safe place of refuge for the occupant of the annex in a flood event.,	local-authority:DNC,Unique Condition,,,
U0109884,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

OS Plan (site plan). Drawing number: 2023/025/05. Date received: 24/04/2023.

Location plan. Drawing number 2023/-25/06. Date received: 24/04/2023.

Scheme elevations (proposed elevations). Drawing number: 2023/025/04C. Date received: 21/04/2023.

Scheme plans (proposed floor plans). Drawing number: 2023/025/03C. Date received: 21/04/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109886,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Location plan and site plan. Date received: 26/04/2023

Proposed plans (floor plan and elevation). Date received: 26/04/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109897,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and documents listed below:

Proposed site plan drwg no 19.010.2 Rev J
Proposed plans drwg no 19.010.5 Rev C (Elevations and ground floor plan) 
Proposed plans drwg no 19.101.5 Rev C (first floor plan)",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109898,Tree Protection,"The erection of impact resistant barriers for the protection of the retained trees shall be undertaken in accordance with the approved plans and particulars (Site Plan ref. 19.010.2 Rev. J dated February 2023) and the local planning authority notified of implementation to approve the setting out of the tree protection scheme before any equipment, machinery or materials have been brought on to site for the purposes of the development. Thereafter, all tree protection shall be maintained in full accordance with the approved details until all equipment, machinery and surplus materials have been removed from the site, unless the local planning authority gives its written approval to any variation. Nothing shall be stored or placed in any area fenced in accordance with this condition and the ground levels within those areas shall not be altered, nor shall any excavation be made, without the written consent of the Local Planning Authority.",To ensure that all trees are protected from damage during construction in accordance with Local Plan Policy 32.,	local-authority:DNC,Unique Condition,,,
U0109899,Landscaping,"Unless as shall be specifically approved in writing by the Local Planning Authority, the scheme of landscaping shown on plan ref: BR-32-LA2 dated January 2021 shall be implemented in full accordance with the approved details during the first available planting season following the completion of the development hereby granted and the local planning authority notified in writing within 7 working days of the completion of the landscape works to inspect and approve practical completion in writing. Any part of the scheme which fails to achieve independence in the landscape or is damaged or removed within five years of planting shall be replaced during the next available planting season in full accordance with the approved scheme, unless the local planning authority gives its written approval to any variation.",In the interests of environmental quality and in accordance with Policy 48 of the Local Plan.,	local-authority:DNC,Unique Condition,,,
U0109900,Boundary treatment,"Prior to the implementation of the relevant site works details of the new boundary treatment shall be submitted to and agreed in writing by the local planning authority. Such details shall include details of the height and design of the walls, piers and gates, as well as details or samples of the materials to be used in its construction.",To preserve and enhance the character and appearance of the Conservation Area in accordance with saved policy 37 of the Local Plan,	local-authority:DNC,Unique Condition,,,
U0109901,Double glazing,"All glazing on the front elevation of Plot 1 facing Bawtry Road shall be fitted with enhanced double glazing with a rating of 32 dB Rw, featuring acoustic trickle vents, and the enhanced glazing shall be retained thereafter.","To reduce noise disturbance to occupants of the dwelling and improve residential amenity, in accordance with paragraph 130(f) of the NPPF.",	local-authority:DNC,Unique Condition,,,
U0109902,Construction works,Construction works shall not take place outside 8am to 6pm Mondays to Fridays and 9am to 1pm on Saturdays or at any time on Sundays or Bank Holidays.,To safeguard the amenities of the occupiers of the adjoining properties.,	local-authority:DNC,Unique Condition,,,
U0109903,C3 to C4,"Notwithstanding the provisions of the Town and Country Planning (General Permitted Development) (No.596) (England) Order 2015, Article 3, Schedule 2, Part 3, Class L (or any subsequent order or statutory provision revoking or re-enacting that order), the dwellinghouses hereby approved shall be retained as single dwellinghouses (class C3) in perpetuity and shall not occupied as Homes in Multiple Occupation (class C4) unless otherwise approved in writing by the local planning authority.",The local planning authority considers that the operation of the dwellings as Homes in Multiple Occupation could cause detriment to the amenities of the occupiers of nearby properties or to the character of the area and for this reason would wish to control any future development to comply with policy 10 of the Local Plan.,	local-authority:DNC,Unique Condition,,,
U0109904,Obscure glazing,"Before the first occupation of the building/extension hereby permitted, the walk-in wardrobe and en suite bathroom windows on the south-east-facing side elevation of the Plot 1 dwelling as indicated on the approved plans shall be fitted with obscure glazing to a level of obscurity of Pilkington level 3 or above, or its technical equivalent by other manufactures, and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.",To ensure that the development does not impact on the privacy of the adjoining premises.,	local-authority:DNC,Unique Condition,,,
U0109905,Amended plans,"The development hereby permitted shall be carried out in complete accordance with the details shown on the amended plans referenced and dated as follows:

Existing and proposed plans; Revision A; Received 31/03/2023
Site plan; Amended 04/05/2023; Received 04/05/2023
Location plan; Received 31/03/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109906,Obscure glazing,"Before the first occupation of the extension hereby permitted, the side elevation athroom window as indicated on the approved plans shall be permanently obscure to a level of obscurity to Pilkington level 3 or above or its technical equivalent by other manufactures and shall be permanently retained in that condition thereafter, unless otherwise approved in writing by the local planning authority.",To ensure that the development does not impact on the privacy of the adjoining premises.,	local-authority:DNC,Unique Condition,,,
U0109907,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Location Plan: as received 20/03/2023
Site Plan: as received 20/03/2023
Proposed Floor Plans: as received 20/03/2023
Proposed Elevations: as received 20/03/2023
Site Plan (Parking and turning provisions):  as received 23/05/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109908,In accordance with specified plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:
- Site Location Plan and Block Plan, drawing no. 1109-P-08, Rev A1
- Design and Access Statement (received 15/03/2023)
- Proposed External Area Layout - General Arrangement, drawing no. 1109-P-02
- Proposed External Area Layout - Demolitions, drawing no. 1109-P-03
- Proposed External Elevations, drawing no. 1109-P-07",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109909,Written Scheme of Investigateion,"Part A (pre-commencement)
No development, including any demolition and groundworks, shall take place until the applicant, or their agent or successor in title, has submitted a Written Scheme of Investigation (WSI) that sets out a strategy for archaeological investigation and this has been approved in writing by the Local Planning Authority. The WSI shall include:

- The programme and method of site investigation and recording.
- The requirement to seek preservation in situ of identified features of importance.
- The programme for post-investigation assessment.
- The provision to be made for analysis and reporting.
- The provision to be made for publication and dissemination of the results.
- The provision to be made for deposition of the archive created.
- Nomination of a competent person/persons or organisation to undertake the works.
- The timetable for completion of all site investigation and post-investigation works.

Part B (pre-occupation/use)
Thereafter the development shall only take place in accordance with the approved WSI and the development shall not be brought into use until the Local Planning Authority has confirmed in writing that the requirements of the WSI have been fulfilled or alternative timescales agreed.","To ensure that any archaeological remains present, whether buried or part of a standing building, are investigated and a proper understanding of their nature, date, extent and significance gained, before those remains are damaged or destroyed and that knowledge gained is then disseminated.",	local-authority:DNC,Unique Condition,,,
U0109910,Demolition of outbuilding,"Demolition of outbuilding
Prior to relevant works a structural report shall be submitted to and approved in writing by the Local Planning Authority, with specific regard to the impact that any demolition of the outbuilding will have on the rear boundary wall. The report shall highlight how the demolition will be carried out to limit any impact on the historic fabric of the rear wall. Works to be carried out in accordance with approved details.",To preserve the character and appearance of the conservation area,	local-authority:DNC,Unique Condition,,,
U0109915,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Site Plan and Location Plan, Drawing Number 1877-6, Revision D
Proposed Ground Floor Plan, Drawing Number 1877 - 2,  Revision D
Proposed Elevations, Drawing Number 1877-4, Revision D
Proposed Section, Drawing Number 1877-5, Revision D
(as received 05/05/2023)",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109918,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Location plan. Date received: 04/04/2023.

Site plan. Date received: 11/04/2023.

Proposed elevations. Drawing number: MC3A. Date received: 04/04/2023.

Proposed floor plan (first floor). Drawing number: MC2A. Date received: 04/04/2023.

Proposed floor plan (ground floor). Drawing number: MC1A. Date received: 04/04/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109942,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Location Plan: Drawing no. 23-026-1 as received 30/03/2023
Site Plan: Drawing no. 23-026-2 as received 30/03/2023
Proposed Plans: Drawing no. 23-026-4 as received 30/03/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109950,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed Plans: Drawing No. 23-021-4 revision A as received 26/05/2023
Proposed Garden Room Plans: Drawing No. 23-021-5 as received 08/03/2023
Site Plan: Drawing Number 23-021-2 revision A as received 26/05/2023
Location Plan: Drawing Number 23-021-1 as received 08/03/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0109951,Temporary tree protection fencing,"Temporary tree protection fencing to be agreed
Prior to the commencement of the development hereby granted a scheme for the protection of the Larch tree that complies with British Standard 5837: 2012 Trees in Relation to Design, Demolition and construction shall be submitted to the Local Planning Authority for approval. Tree protection shall be implemented on site in accordance with the approved scheme before any equipment, machinery or materials have been brought on to site for the purposes of the development, and shall be maintained until all equipment, machinery and surplus materials have been removed from the site. Nothing shall be stored or placed in any area fenced in accordance with this condition and the ground levels within those areas shall not be altered, nor shall any excavation be made, without the written consent of the Local Planning Authority.","To ensure that retained trees are protected from damage during construction and Policy 32: Woodlands, Trees and Hedgerows section B of the adopted Doncaster Local Plan 2015 - 2035.",	local-authority:DNC,Unique Condition,,,
U0110011,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed Plans: As received 31/03/2023
Location Plan: As received 06/04/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110012,Non-intermittent illumination,The illumination of the advertisement shall be non-intermittent.,To safeguard the appearance and character of the area in accordance with policy 49 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0110013,Luminance,The luminance of the advertisement hereby approved shall not exceed a maximum of 300 cd/m2.,In the interests of highway safety and local visual amenity in accordance with policy 49 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0110021,In accordance with specified plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:
- Location Plan, drawing no. 00-01
- Existing and Proposed Plans, drawing no. 23-001, Revision 1.1
- Proposed Site Plan - Vehicle Parking, drawing no. 10-02, Revision 1.0
- Design and Access Statement
- Flood Risk Assessment",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110022,Opening hours,"The hours of operation shall be limited to 
Monday - Saturday 09:00 - 18:00 and not at all at any other time.",To ensure that the development does not prejudice the local amenity.,	local-authority:DNC,Unique Condition,,,
U0110054,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed Plans: Drawing Number STD_TOT_5M as received 06/04/2023
Proposed Signage Plan: Drawing Number 13664-077-CTA as received 06/04/2023
Location Plan: Drawing Number 13664-LP-077 as received 06/04/2023
Site Plan: Drawing Number 13664-BP-077 as received 06/04/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110055,ADV8A - Luminence of Advert,The luminance of the advertisement hereby approved shall not exceed a maximum of 300 cd/m2.,In the interests of highway safety and local visual amenity in accordance with policy 49 of the Doncaster Local Plan.,	local-authority:DNC,Unique Condition,,,
U0110061,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Existing Plans (Includes Location Plan) - Drawing Number 001 as received 13/04/2023
Site Plan: Drawing Number 004 as received 13/04/2023
Proposed Floor Plans: Drawing Number 002 as received 13/04/2023
Proposed Elevations: Drawing Number 003 as received 13/04/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110080,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Drawing No: CRB 1 (Location and Proposed Block/Site Plan).
Date: 28.04.23.

Drawing No: CRB 2 (Existing and Proposed Floor and Elevation Plans).
Date: 28.04.23.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110093,In accordance with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Location and Site Plan: Drawing No. 001 as received 24/03/2023
Proposed Plans: Drawing No. 003 as received 24/03/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110154,Amended/approved plans,"The development hereby permitted shall be carried out in complete accordance with the details shown on the amended/approved plans referenced and dated as follows

Amended plans:
Drg Title: Proposed Ground and First Floor Plans.
Date: February 2023.
Drg No: 003.
Rev: 1.
Received by City of Doncaster Council on the 06.06.2023.

Drg Title: Proposed Roof Plan.
Date: February 2023.
Drg No: 004.
Rev: 1.
Received by City of Doncaster Council on the 06.06.2023.

Drg Title: Proposed Elevations.
Date: February 2023.
Drg No: 005.
Rev: 1.
Received by City of Doncaster Council on the 06.06.2023.

Approved plans:
Drg Title: OS Maps (Proposed Site Pla).
Date: January 2022.
Drag No: 006.
Received by City of Doncaster Council on the 23.03.2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110155,In accord with plans specified,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed Ground Floor Plans: 100089.05 revision A as received 27/03/2023
Proposed First Floor Plans: 100089.07 revision D as receieved 25/05/2023 
Proposed Elevations: 100089.08 revision C as receieved 25/05/2023
Site Plan: 100089.03 revision A as received 25/05/2023
Location Plan: 100089.01 as received 27/03/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110157,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Existing plans (including site and location plan). Drawing number: 3860-01. Revision 'P1'. Date received: 24/03/2023.

Proposed plans (including site and location plan). Drawing number: 3860-03. Revision 'P2'. Date received: 24/03/2023. 

Design and access statement (including heritage statement). Date received: 24/03/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110158,Details of dormer window,"Prior to the installation of the new dormer window details of its design shall be submitted to and agreed in writing by the local planning authority. Such details shall include details of the design, materials, profile, and means of opening of the new window and details of the materials and construction of the dormer cheeks and roof.",In the interests of the heritage significance of the listed building and of the conservation area in accordance with local plan policy 36 and 37 respectively.,	local-authority:DNC,Unique Condition,,,
U0110159,Other roof alterations,Prior to the implementation of the first-floor alterations a timetable for the alteration of the roof of the bathroom from flat roof to pitched roof and replacement of the concrete tiles (if these are not undertaken at the same time) shall be submitted to and agreed in writing by the local planning authority. Any new tile to the roofs of the listed building shall be non-interlocking red clay pantiles and verges to the bathroom gable and dormer gable shall be mortared verges and not modern upvc dried verges.,In the interests of the heritage significance of the listed building and of the conservation area in accordance with local plan policy 36 and 37 respectively.,	local-authority:DNC,Unique Condition,,,
U0110161,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Existing plans (including site and location plan). Drawing number: 3860-01. Revision 'P1'. Date received: 24/03/2023.

Proposed plans (including site and location plan). Drawing number: 3860-03. Revision 'P2'. Date received: 24/03/2023. 

Design and access statement (including heritage statement). Date received: 24/03/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110162,Details of dormer window,"Prior to the installation of the new dormer window details of its design shall be submitted to and agreed in writing by the local planning authority. Such details shall include details of the design, materials, profile, and means of opening of the new window and details of the materials and construction of the dormer cheeks and roof.",In the interests of the heritage significance of the listed building and of the conservation area in accordance with local plan policy 36 and 37 respectively.,	local-authority:DNC,Unique Condition,,,
U0110163,Other roof alterations,Prior to the implementation of the first-floor alterations a timetable for the alteration of the roof of the bathroom from flat roof to pitched roof and replacement of the concrete tiles (if these are not undertaken at the same time) shall be submitted to and agreed in writing by the local planning authority. Any new tile to the roofs of the listed building shall be non-interlocking red clay pantiles and verges to the bathroom gable and dormer gable shall be mortared verges and not modern upvc dried verges.,In the interests of the heritage significance of the listed building and of the conservation area in accordance with local plan policy 36 and 37 respectively.,	local-authority:DNC,Unique Condition,,,
U0110164,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed plans; Drawing no. P101; Project no. 1711; Dated 12/04/2023; Received 13/04/2023
Site and location plans; Drawing no. BL101; Project no. 1711; Dated 12/04/2023; Received 13/04/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110165,Amended/approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the amended/approved plans listed below:

Amended plans:
Title: Block Plan.
Scale 1:500.
Rev: B.
Received by City of Doncaster Council on the 07.06.2023.

Approved plans:
Title: Plan Revision 'A'.
Scale: 1:50.
(Existing and Proposed Elevation and Floor Plans).",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110182,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications. 

Location plan and site plan. Drawing number: 001. Revision A. Date received: 17/04/2023.

Proposed plans and elevations. Drawing number: 003. Revision A. Date received: 17/04/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110183,Amended plans,"The development hereby permitted shall be carried out in complete accordance with the details shown on the amended plans referenced and dated as follows:

General arrangement drawing (proposed plans incl. site plan). Drawing number: 1082/03/2023 - 2.0. Revision 'B'. Date received: 31/05/2023.

Survey drawing (location plan and site plan). Drawing number: 1082/03/2023 - 01. Date received: 27/03/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110184,Ancillary Accomodation,The annex hereby permitted shall not be occupied at any time other than for purposes ancillary to the residential use of the main dwelling.,To ensure that the annex does not become a separate unit and thereby harming the amenity of the main dwelling and the surrounding area.,	local-authority:DNC,Unique Condition,,,
U0110185,Approved Plans,"The development hereby permitted shall be carried out in complete accordance with the details shown on the amended plans referenced and dated as follows:

Location plan. Date received: 15/03/2023.

Site plan (proposed). Date received: 16/05/2023.

Site plan (existing). Drawing number: A001. Date received: 09/03/2023.

Existing and proposed plans (floor plans and elevations). Revision 'A'. Date received: 15/05/2023.

Sections. Revision 'A'. Date received: 15/05/2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110186,PLANS,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Proposed Plans - Site Plan with Signage Details, Drawing No: 23-01C, Received: 13/4/2023",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110212,Implementation,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,	local-authority:DNC,Unique Condition,,,
U0110213,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below: 

Location Plan (100022432)
Proposed Garden Plan (G03-P02 A)
External Bar Unit Details (J01)
Ener-J Lighting Specification 
Landscape Plan and Planting Schedule (received 30 May 2023)",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110214,Opening Hours,"The hours of opening shall be limited to:

Mondays to Sundays inclusive 0900 hours to 2200 hours",To ensure that the development does not prejudice the local amenity.,	local-authority:DNC,Unique Condition,,,
U0110215,Tree Retention,"No trees existing within or on the boundaries of the site shall be topped, lopped or felled, uprooted or otherwise damaged for five years after the date of consent without the prior written permission of the Local Planning Authority. Any trees removed or becoming damaged or becoming diseased before the end of the period shall be replaced with trees of such size and species as may be agreed by the Local Planning Authority.",To ensure that all retained trees are in a healthy condition on the completion of the development and for the specified period afterwards.,	local-authority:DNC,Unique Condition,,,
U0110216,Landscaping Implementation,"The scheme of landscaping which has been agreed as part of this application (Landscape Plan Rev A and Planting Notes - received 30 May 2023) shall be begun during the first available planting season following the commencement of the development hereby granted. It shall thereafter be maintained by the site owner for a period of five years. Any tree or shrub planted in accordance with the scheme which becomes damaged or diseased, or dies or is removed within the five years shall be replaced during the next planting season.",To ensure the maintenance of a healthy planting scheme in the interests of amenity.,	local-authority:DNC,Unique Condition,,,
U0110236,Approved plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below:

Title: Site Plan.
Scale: 1:200.
Date: 20th March 2023.

Titles: Proposed Ground Floor Plan and Proposed Elevation Plans.
Date: 20th March 2023.",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110246,Implementation,The development to which this permission relates must be begun not later than the expiration of three years beginning with the date of this permission.,Condition required to be imposed by Section 91(as amended) of the Town and Country Planning Act 1990.,	local-authority:DNC,Unique Condition,,,
U0110247,Approved Plans,"The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans listed below: 

- Location Plan (100022432)
- Proposed Site Plan 
- Schematic Elevations / Site Layout (22001-002 Rev A)
- Schematic Floor Plans (22001-001 Rev A)
- Drainage Strategy (23138-DR-C-0100 Rev P3) (received 25 May 2023)
- Ecological Enhancement Plan (May 2023)",To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Unique Condition,,,
U0110248,Contamination CON2,"Should any unexpected significant contamination be encountered during development, all associated works shall cease and the Local Planning Authority (LPA) be notified in writing immediately. A Phase 3 remediation and Phase 4 verification report shall be submitted to the LPA for approval. The associated works shall not re-commence until the reports have been approved by the LPA.","To secure the satisfactory development of the site in terms of human health and the wider environment, in accordance with the National Planning Policy Framework and Doncaster's Local Plan Policies 54 and 55.",	local-authority:DNC,Unique Condition,,,
U0110249,Contamination CON3,"Any soil or soil forming materials brought to site for use in garden areas, soft landscaping, filing and level raising shall be tested for contamination and suitability for use on site. Proposals for contamination testing including testing schedules, sampling frequencies and allowable contaminant concentrations (as determined by appropriate risk assessment) and source material information shall be submitted to and be approved in writing by the LPA prior to any soil or soil forming materials being brought onto site. The approved contamination testing shall then be carried out and verification evidence submitted to and approved in writing by the LPA prior to any soil and soil forming material being brought on to site.","To secure the satisfactory development of the site in terms of human health and the wider environment, in accordance with the National Planning Policy Framework and Doncaster's Local Plan Policies 54 and 55.",	local-authority:DNC,Unique Condition,,,
U0110250,HIGH6,"Before the development is brought into use, the existing hedge abutting the highway shall be reduced to a height not exceeding 900MM  above the near side channel line of the adjoining highway and/or entrance and the visibility thus provided shall be maintained.",To ensure that there is adequate visibility for highway safety.,	local-authority:DNC,Unique Condition,,,
