reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/02466/FUL,Siting of a Proposed Single Storey Modular Building to provide additional teaching facilities,2024-01-25,local-authority:DNC,,,,
23/02468/FUL,Erection of 3 Bay workshop at Fishlake Commercial Motors,2024-02-20,local-authority:DNC,,,,
23/02470/FUL,Installation of a roller shutter door & canopy over loading yard  (Retrospective),2024-01-22,local-authority:DNC,,,,
23/02471/FUL,Erection of a single storey rear extension including conversion of part of garage into bedroom,2024-01-16,local-authority:DNC,,,,
23/02472/FUL,"Erection of a 2 storey side/rear extension, a ground floor rear extension, a Porch extension to the front elevation and a first floor extension over Kitchen as an extension to Bedroom 1 (being resubmission of application 23/00922/FUL, granted on 15.06.2023).",2024-01-03,local-authority:DNC,,,,
23/02473/FUL,Erection of extension to front and rear and new raised roof (being resubmission of application 23/01089/FUL).,2024-01-23,local-authority:DNC,,,,
23/02476/FUL,Reduction in height of unauthorised wall to 1.3 - 1.5m (being resubmission of previously refused 23/00330/FUL).,2024-02-29,local-authority:DNC,,,,
23/02478/FUL,External alterations to shop frontages,2024-01-18,local-authority:DNC,,,,
23/02479/FUL,External alterations to shop frontage,2024-01-26,local-authority:DNC,,,,
23/02482/FULM,"Installation and operation of an Energy Storage System (ESS) including energy storage units and a Solar Farm with associated infrastructure including substation, site access, cable connection, acoustic fencing, security fencing, stock proof fencing, landscaping and other ancillary infrastructure",2024-10-14,local-authority:DNC,,,,
23/02484/LBC,"Listed Building Consent for replacement of slates
",2024-04-16,local-authority:DNC,,,,
23/02486/FUL,Demolition of existing garage and erection of a new garage.,2024-01-08,local-authority:DNC,,,,
23/02493/FUL,"External works to school gymnasium building including alterations to external elevations and roof, doors and windows. Associated with refurbishment works to the gymnasium building and conversion of associated storage to studio.",2024-03-05,local-authority:DNC,,,,
23/02494/LBC,Listed Building Consent for internal and external works associated with the refurbishment of the school gymnasium building including conversion of gymnasium store to studio.,2024-03-05,local-authority:DNC,,,,
23/02495/FUL,"Change of use from horse stables to self contained annex, and erection of wooden car port.",2024-07-03,local-authority:DNC,,,,
23/02496/FUL,Erection of a new front bay and porch and other alterations to windows.,2024-01-10,local-authority:DNC,,,,
23/02502/HAZ,Hazardous Substances Consent for modification of a  condition attached to the hazardous substance consent reference  98/51/3600/P/HAZ ( being under  The Planning (Hazardous Substances) Regulations 2015 (Regulation 5) & The Planning (Hazardous Substances) Act 1990 - Section 13),2024-01-05,local-authority:DNC,,,,
23/02506/FUL,Erection of a storage/office building (32.85 x 9.44m),2024-02-29,local-authority:DNC,,,,
23/02508/FUL,Change of use from retail/residential to 3 x self contained apartments including external alterations and installation of external staircase at the rear.,2024-02-02,local-authority:DNC,,,,
23/02509/FUL,Erection of two residential units and a ground floor retail unit,2024-04-10,local-authority:DNC,,,,
23/02510/FUL,Change of use of agricultural field to garden land including the erection of a 6.0m x 3.0m pergola and boundary fencing (part retrospective),2024-04-17,local-authority:DNC,,,,
23/02511/FUL,Erection of a garage store to the side of property,2024-01-29,local-authority:DNC,,,,
23/02513/FUL,Erection of a granny annexe to the side of the host dwelling.,2024-02-28,local-authority:DNC,,,,
23/02516/FUL,Demolition of dwelling and replacement with detached 4-bed dwelling and garage,2024-02-07,local-authority:DNC,,,,
23/02517/FUL,"Erection of a 2 storey side extension (which also projects forwards and rearwards of the existing dwelling house), following the demolition of the existing single storey side extension.",2024-01-10,local-authority:DNC,,,,
23/02518/TPO,"Application to fell 3 dead Hawthorn and 3 dead/dangerous Willow, deadwood 2 Ash and 4 Oak trees and undertake crown lift on various trees above footpaths within A11 of the Tree Preservation No 15 Rossington Order 1971
",2024-01-08,local-authority:DNC,,,,
23/02521/FUL,Installation of an external staircase and balustrade,2024-02-09,local-authority:DNC,,,,
23/02522/FUL,Conversion of existing dwelling to 4 no. 1 bed HMO units and alterations to outbuilding for use as bike and bin storage.,2024-10-17,local-authority:DNC,,,,
23/02523/FUL,"Conversion of existing barn buildings to form 6 no. residential dwellings with associated parking, bin storage, landscaping, access including the erection of a garage building and other associated works (revised scheme to approval 22/00150/FUL, part retrospective) (without compliance with condition 2 ( Plans ) of planning application 22/00150/FUL granted on 14/07/2022 - consent outlines the approved plans in accordance with which the development should be carried out)",2024-03-04,local-authority:DNC,,,,
23/02526/FUL,Conversion of a 6 bedroom house in multiple occupation (Class C4) to a 7 bedroom house in multiple occupation (Sui Generis) and conversion of outbuilding and erection of a single storey link extension to create additional living space.,2024-02-27,local-authority:DNC,,,,
23/02527/FUL,"Erection of a part two, part single storey side extension following demolition of the existing rear conservatory and free standing shed",2024-05-24,local-authority:DNC,,,,
23/02530/FUL,Erection of a single storey rear & side extension following the demolition of existing rear extension.,2024-01-22,local-authority:DNC,,,,
23/02532/FULM,"Erection of 14no apartments, associated landscaping & car parking",2024-12-12,local-authority:DNC,,,,
23/02533/ADV,"Display of  6 x fascia signs,1 internally illuminated and 6 x A0 aluminium poster frames.",2024-01-10,local-authority:DNC,,,,
23/02534/FUL,Erection of a side single storey extension to provide accessible wet room plus front porch extension and replacement of the existing garage flat roof with pitched tiled roof,2024-03-21,local-authority:DNC,,,,
23/02541/FUL,Erection of single storey rear extension.,2024-08-14,local-authority:DNC,,,,
23/02542/FUL,Demolition of existing conservatory and erection of a single storey rear extension,2024-01-24,local-authority:DNC,,,,
23/02543/FUL,Erection of an open Oak canopy Porch structure to the principal entrance/front elevation of a detached dwelling house.,2024-01-15,local-authority:DNC,,,,
23/02544/FUL,"Erection of rear single storey extension, front porch and first floor extension over garage.",2024-01-23,local-authority:DNC,,,,
23/02547/FUL,"Conversion of existing barn into a dwelling and removal of existing chalet family home. (being a re-submission of application 22/02164/FUL)
",2024-03-20,local-authority:DNC,,,,
23/02550/FUL,Erection of a flat roof Outbuilding with log burner and new chimney within the rear garden area.,2024-02-05,local-authority:DNC,,,,
23/02553/FUL,"Amended - An increase in roof height of the dwelling house, erection of a flat roof two storey extension to the north elevation of the dwelling house itself and erection of a detached Garage to be located within the northern garden area, abutting Bellwoood Crescent.",2024-04-24,local-authority:DNC,,,,
23/02556/FUL,Erection of single storey rear extension to shop premises and the relocation and retention of air conditioning and refrigeration plant,2024-01-22,local-authority:DNC,,,,
23/02557/FUL,Erection of building for storage and repair of vehicles and components,2024-12-16,local-authority:DNC,,,,
23/02558/COU,Change of Use from Bar/Club (Sui Generis) to Offices (Class E),2024-02-22,local-authority:DNC,,,,
23/02559/TPO,"Application to prune a Sycamore tree, identified as T44 of the Doncaster Borough Council TPO (No 70) 1991 Christchurch",2024-01-19,local-authority:DNC,,,,
23/02561/FUL,Proposed change of use from Nursery (class E) to residential,2024-01-05,local-authority:DNC,,,,
23/02562/TPO,"Application to under minor pruning and removal of deadwood in 3 Oak, identified as being within G5 or Doncaster Borough Council TPO (No 123) 1994 Thorne Road, Edenthorpe",2024-01-19,local-authority:DNC,,,,
23/02563/FUL,Erection of single storey rear infill extension to kitchen/living room.,2024-02-05,local-authority:DNC,,,,
23/02566/FUL,"Proposed single storey side extension, change of use of part of the ground floor and first floor to form two apartments, change of use from a gallery to commercial floor space (Use Class E)",2024-07-29,local-authority:DNC,,,,
23/02568/FUL,Erection of a two storey rear extension following demolition of existing single storey extension,2024-01-29,local-authority:DNC,,,,
23/02570/TPO,"Application to prune a Sweet Chestnut, identified as T178 of DMBC TPO (No64) 1991 Bessacarr with Cantley",2024-01-29,local-authority:DNC,,,,
23/02575/FUL,Conversion of house into two flats and erection of rear outbuilding,2024-01-11,local-authority:DNC,,,,
23/02581/LBC,Listed building consent for replacement roof,2024-04-16,local-authority:DNC,,,,
23/02582/FUL,Erection of a detached dwelling adjacent Hall Farm,2024-02-08,local-authority:DNC,,,,
23/02583/FUL,Siting of a 20ft steel container to use for storage of football equipment,2024-02-20,local-authority:DNC,,,,
23/02586/FUL,Erection of a two storey rear and side extension to dwelling,2024-01-31,local-authority:DNC,,,,
23/02589/FUL,Erection of a car port to the side of the dwelling.,2024-02-05,local-authority:DNC,,,,
23/02591/FUL,Erection of a two storey side and single storey rear and front extensions.,2024-01-12,local-authority:DNC,,,,
23/02595/COU,"Change of use of part of the ground floor from retail to residential, retention of residential use within the remainder of the site, proposed external alterations including the removal of the shop front, infilling of masonry and the installation of a window and door on the front elevation",2024-03-05,local-authority:DNC,,,,
23/02598/FUL,Erection and operation of an observation wheel at the Yorkshire Hive (retrospective) (without compliance to condition 1 of planning application 22/01960/FUL granted on 25/01/2023 -  Temporary consent),2024-08-08,local-authority:DNC,,,,
23/02599/FUL,"Erection of a two storey dwelling house (C3) following demolition of existing bungalow, and associated external works (AMENDED SCHEME)",2024-04-29,local-authority:DNC,,,,
23/02605/TPO,"Application to prune an Ash tree, identified as being T59 within and protected by Doncaster Rural District Council TPO (No11) 1970 Barnby Dun with Kirk Sandall 
",2024-06-24,local-authority:DNC,,,,
23/02606/PIP,Permission in principle for erection of up to 9 new dwellings,2024-02-19,local-authority:DNC,,,,
23/02608/FULM,Removal of earth screening bund,2024-06-06,local-authority:DNC,,,,
23/02615/COU,Change of use from charity shop to adult gaming centre,2024-02-20,local-authority:DNC,,,,
23/02616/COU,Change of use of grass verge to a residential garden (retrospective),2024-02-06,local-authority:DNC,,,,
23/02618/FUL,"Conversion of one building to a dwelling &  restoration of 2 remaining buildings, one as a garage and one as a storage building.",2024-02-29,local-authority:DNC,,,,
23/02619/FUL,Erection of single storey rear extension and erection of garage and garden room including render finish to existing property,2024-04-02,local-authority:DNC,,,,
23/02620/FUL,Installation of replacement frames & roof to existing conservatory & replacement windows & doors to dwelling.,2024-02-05,local-authority:DNC,,,,
23/02621/FUL,"Amended - Erection of a single storey front Porch/Lobby. Erection of a side extension and loft conversion, which also includes an increase in the roof height of the existing bungalow of Jamyn.",2024-04-09,local-authority:DNC,,,,
23/02624/FUL,"AMENDED PLANS: Erection of extension to side (being resubmission of application 23/00753/FUL, granted on 13.06.2023; increase in length and roof height of extension).",2024-03-11,local-authority:DNC,,,,
23/02625/FUL,Proposed dormer bungalow with associated external works,2024-04-11,local-authority:DNC,,,,
23/02626/FUL,Erection of 2 storey extension to the rear after demolishing the existing conservatory.,2024-08-06,local-authority:DNC,,,,
23/02627/FUL,Erection of a front extension to be used as a porch,2024-02-20,local-authority:DNC,,,,
23/02628/FUL,"Section 73 application to vary condition 2 ( Amended plans), 4 (Site surfaced and sealed) & remove condition 5 (Crossing over footpath/verge) of planning application 18/01783/FUL.",2024-04-10,local-authority:DNC,,,,
23/02629/FUL,]Creation of car park (part retrospective),2024-02-29,local-authority:DNC,,,,
23/02630/FUL,"Erection of a  two storey side extension and formation of new access, driveway and dropped kerb",2024-03-01,local-authority:DNC,,,,
23/02635/ADV,AMENDED PLANS: Display of 1no Directional Signs applied to number 189 Bentley Road. 1no Fascia Sign to Bentley ARLFC Clubhouse Western Gable and Pitch Side Advertisements (Max 120nr),2024-02-12,local-authority:DNC,,,,
23/02636/FUL,Erection of a single storey detached building within school grounds to provide sports changing rooms,2024-04-22,local-authority:DNC,,,,
23/02637/FUL,"Works to an existing building consisting of a first-floor extension, alteration to the roof and the application of render and corrugated sheeting to the exterior",2024-07-26,local-authority:DNC,,,,
23/02640/FUL,"Erection of a single storey front Porch, single storey rear extension, new roof to side elevation and Garage conversion.",2024-02-07,local-authority:DNC,,,,
23/02641/FUL,Erection of prefabricated garage.,2024-02-13,local-authority:DNC,,,,
23/02644/FUL,Erection of a single storey rear extension,2024-02-06,local-authority:DNC,,,,
24/00001/FUL,Erection of garage extension to side following demolition of existing outbuilding (Retrospective) and installation of a dropped kerb (3.3m wide),2024-06-17,local-authority:DNC,,,,
24/00006/TPO,"Consent to fell 1 Larch and 2 Pine trees, within G106 of  Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley (also wish to fell 7 Cypress, and 2 Holly not covered by the TPO but in the Conservation Area)",2024-02-14,local-authority:DNC,,,,
24/00009/ADV,"Display of internally illuminated ES08a Colonels Bucket Sign to fascia, ES07a KFC White lettering to fascia & ES21 KFC Projecting sign & display of ES04a Opening hours door vinyl (internal), ES02 Push vinyl sign (internal), ES03 Hello 'Doncaster' vinyl (internal),  EG01b Window manifestation vinyl (internal), IG55 Always original vinyl - (internal window display) & IG56 Chicken vinyl - (internal window display).",2024-03-06,local-authority:DNC,,,,
24/00011/FUL,"Amended - Erection of a two storey side/rear extension, using the same footprint as already being used. And erection of a single storey rear extension to the dwelling house.",2024-04-08,local-authority:DNC,,,,
24/00014/OUT,Application to vary condition 7 of planning application 20/02775/OUT - To change the allowance for the maximum levels and ridge heights,2024-02-12,local-authority:DNC,,,,
24/00016/FUL,Extension to existing dropped kerb at the entrance to the allotments,2024-07-29,local-authority:DNC,,,,
24/00018/FUL,Erection of a two storey extension to the side of the existing nursery building and the change of use of land to associated car park (AMENDED SITE PLAN),2024-04-05,local-authority:DNC,,,,
24/00021/FUL,Erection of rear single storey extension to accommodate a kitchen/dining space. Conversion of loft into habitable en suite master bedroom enclosed in new dormer roof extension,2024-10-07,local-authority:DNC,,,,
24/00022/FUL,Erection of single storey rear extension,2024-02-12,local-authority:DNC,,,,
24/00031/FUL,Proposed raising of roof over single storey garage to form bedroom and installation of dormer window to front following demolition of part of the rear garage,2024-03-19,local-authority:DNC,,,,
24/00043/FUL,"Change of use of existing 1st floor residential accommodation (Use Class C3) into 1 no. 6-bed HMO (C4) with part ground floor converted into ancillary laundry room/store, with associated external alterations",2024-04-09,local-authority:DNC,,,,
24/00047/FUL,Addition of 1 new external exit door in new opening,2024-02-15,local-authority:DNC,,,,
24/00048/FUL,Erection of ground floor rear extension and two storey side extension,2024-02-16,local-authority:DNC,,,,
24/00050/LBC,Listed building consent for proposed alterations to form 2 x 2 bedroom dwellings and installation of mezzanine floor,2024-06-05,local-authority:DNC,,,,
24/00056/FUL,"Erection of one dwelling, landscaping and associated infrastructure on Manor Farm Phase 2, Bessacarr, Doncaster",2024-03-28,local-authority:DNC,,,,
24/00057/FUL,Proposed conversion of building to 2 x two bedroom dwellings,2024-06-05,local-authority:DNC,,,,
24/00059/COU,"Change of use from flat to commercial beauty salon, beauty salon business already operating in commercial property downstairs in the same building (RETROSPECTIVE)",2024-02-21,local-authority:DNC,,,,
24/00060/FUL,Erection of a first floor rear extension and modifications to ground floor rear elevation.,2024-03-06,local-authority:DNC,,,,
24/00065/REM,"Details of Access, Appearance, Landscaping, Layout and Scale of Design for the erection of a dormer bungalow (being matters reserved in outline application previously granted permission under ref 22/02227/OUT granted on 07.12.2022)",2024-03-13,local-authority:DNC,,,,
24/00068/FUL,Erection of a single storey extension to rear,2024-02-16,local-authority:DNC,,,,
24/00069/FUL,Erection of a single storey porch extension and installation of bay window to front elevation,2024-04-22,local-authority:DNC,,,,
24/00071/COU,"1. Change of use of buildings and facilities for use as football training academy for a period of 3 years (Retrospective) 2. Operational development to clad existing building and make alterations to the site curtilage. 3. Addition of acoustic cladding to the host building.
",2024-07-25,local-authority:DNC,,,,
24/00077/3FUL,Erection of single storey extension to rear.,2024-02-12,local-authority:DNC,,,,
24/00078/FUL,Demolition of 20th century farm buildings attached to 19th century brick farm buildings which are to be retained in a Conservation Area,2024-04-02,local-authority:DNC,,,,
24/00079/FUL,Erection of garage and utility extension to side and loft conversion,2024-03-19,local-authority:DNC,,,,
24/00082/FUL,Erection of a two storey extension to provide additional shop space to ground floor and flat to first floor.,2024-08-12,local-authority:DNC,,,,
24/00089/FUL,"Replacement of existing 3-bedroom caretaker's flat within the existing Club building to provide a new 2-bedroom flat at the ground floor, including associated internal and external alterations and creation of new residential garden area",2024-04-08,local-authority:DNC,,,,
24/00091/TPO,"Application to undertake pruning on a Sweet Chestnut situated in the rear garden of 33 Woodcross Avenue, identified as being within G3 of Tree Preservation Order (No.204) 1997 Cantley Manor Avenue / Woodcross Ave.The reason for the work is general maintenance.",2024-03-25,local-authority:DNC,,,,
24/00094/TPO,"Application to prune a Beech, Oak, Holly and fell an Ash tree, all within and protected by A9 of the Tree Preservation Order (No.15) 1971 Rossington.",2024-02-26,local-authority:DNC,,,,
24/00096/LBCM,"Listed building consent for works associated with the partial conversion to reduce HMOs from 5no. to 3no. (reduction in overall rooms from 44no. to 21no.) and increase apartments from 5no. to 15no., including internal alterations",2024-09-04,local-authority:DNC,,,,
24/00101/COU,Change of use of First Floor Offices to a House in Multiple Occupation.,2024-07-19,local-authority:DNC,,,,
24/00102/FUL,Erection of single-storey rear extension with bi-folding door and pitched roof with two skylights.,2024-03-05,local-authority:DNC,,,,
24/00103/FUL,"Erection of a single storey rear and side garage extension following demolition of the existing side garage, rear extension and rear bay window",2024-03-11,local-authority:DNC,,,,
24/00104/FULM,"Proposed partial conversion to reduce HMOs from 5no. to 3no. (reduction in overall rooms from 44no. to 21no.) and increase apartments from 5no. to 15no., including internal alterations.",2024-09-04,local-authority:DNC,,,,
24/00105/FUL,Erection of detached dwelling to replace garage and change of use of existing day nursery to form a new dwelling with associated extensions to side and rear (part retrospective),2024-03-05,local-authority:DNC,,,,
24/00106/FUL,Erection of a ground floor rear extension 3m x 4.15m (retrospective),2024-03-11,local-authority:DNC,,,,
24/00107/FUL,Amended - Erection of an attached carport to the front of the property (4m wide x 5m forwards projection).,2024-03-04,local-authority:DNC,,,,
24/00108/FUL,Erection of a replacement office building,2024-08-14,local-authority:DNC,,,,
24/00109/FUL,Erection of a flat roof single storey rear extension to the dwelling house.,2024-02-15,local-authority:DNC,,,,
24/00110/ADV,Display of re-located freestanding internally illuminated totem sign 6.95m high and with a width of 1.55m,2024-02-20,local-authority:DNC,,,,
24/00111/FUL,Installation of Jet Wash Bay,2024-09-11,local-authority:DNC,,,,
24/00113/FUL,"Creation of a 3G Artificial Grass Pitch (AGP) with perimeter fencing, hardstanding areas, storage container, floodlights, and an access footpath (AMENDED PLANS - red line boundary extended to include biodiversity compensation area)",2024-08-05,local-authority:DNC,,,,
24/00114/FUL,AMENDED: Erection of a ground floor extension to the front of property.,2024-03-25,local-authority:DNC,,,,
24/00116/FUL,Erection of first floor extension to side,2024-03-05,local-authority:DNC,,,,
24/00118/LB13,Listed Building Consent for alterations to the DDA Entrance Canopy and associated drainage,2024-03-25,local-authority:DNC,,,,
24/00119/FUL,Proposed siting of two containers for a temporary period and removal of one of the existing storage containers (part retrospective),2024-04-23,local-authority:DNC,,,,
24/00122/FUL,Erection of 2 (self build) detached houses & garages,2024-06-18,local-authority:DNC,,,,
24/00124/FUL,"Siting of a modular office which has temporary permission until 19/04/24 (ref 21/00768/FUL)
",2024-03-19,local-authority:DNC,,,,
24/00126/ADV,Display of internally illuminated fascia sign,2024-03-04,local-authority:DNC,,,,
24/00128/COU,Without planning permission the change of use of the public house into short term holiday accommodation,2024-04-15,local-authority:DNC,,,,
24/00131/TPO,"Consent to remove 3 Silver Birch Trees T10, 11 & 12 which forms part DMBC/TPO/00217 - Doncaster Borough Council Tree Preservation Order (No.217) 2000 Conisbrough.",2024-02-26,local-authority:DNC,,,,
24/00132/TPO,"Consent to remove 3 Silver Birch Trees T13 & T14 which forms part DMBC/TPO/00217 - Doncaster Borough Council Tree Preservation Order (No.217) 2000 Conisbrough.
",2024-02-26,local-authority:DNC,,,,
24/00133/FUL,Demolition of storeroom and covered store and erection of extension to warehouse.,2024-03-18,local-authority:DNC,,,,
24/00140/FUL,Erection of part two storey part single storey scout building following demolition of the existing building (without compliance of condition 2 and 5 of planning application 23/00506/FUL granted on 06.10.2023)(Approved Plans and FRA),2024-03-11,local-authority:DNC,,,,
24/00142/ADV,"Display of externally illuminated fascia sign and non-illuminated projecting sign, ACM panels and poster cases.",2024-03-21,local-authority:DNC,,,,
24/00146/FUL,"Erection of a single storey side extension and the addition of a first floor level Juliet Balcony to the main dwelling house itself (without compliance of condition number 3 of planning application 22/01771/FUL, granted on 22.09.2022) (Condition No 3 being Amended/approved plans). Amended plans to include the addition of a Plant Room attached to the side of the Pool Area.",2024-03-11,local-authority:DNC,,,,
24/00152/FUL,Proposed window replacement (in a conservation area),2024-03-22,local-authority:DNC,,,,
24/00155/FUL,Conversion of part of building to tea rooms/restaurant,2024-05-09,local-authority:DNC,,,,
24/00158/FUL,Erection of a single storey pitched roof extension to the rear and internal/external alterations.,2024-03-05,local-authority:DNC,,,,
24/00159/FUL,Erection of a 2 storey rear extension and outbuilding to rear **Amended Plans**,2024-03-20,local-authority:DNC,,,,
24/00161/FUL,"Erection of two-storey side extension, widening of existing access and creation of additional hardstanding following demolition of existing front wall",2024-04-02,local-authority:DNC,,,,
24/00162/FUL,Erection of two storey extension to the rear and side.,2024-03-19,local-authority:DNC,,,,
24/00166/TPO,"Application to fell a False Acacia, identified as being within G61 of the Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley.",2024-03-13,local-authority:DNC,,,,
24/00171/OHL,Installation of two new poles and four new stays in connection with diverting the existing overhead line,2024-03-06,local-authority:DNC,,,,
24/00174/FUL,Erection of single storey detached annex following demolition of single storey detached garage.,2024-03-11,local-authority:DNC,,,,
24/00176/FUL,"Removal and erection of new canopy and signage, install new electric door to the front.",2024-04-04,local-authority:DNC,,,,
24/00177/FUL,"Erection of two storey rear extension, removal and replacement of front porch, tiled roof over front bays, demolition of link garage and erection of rear extension to the garage.",2024-04-19,local-authority:DNC,,,,
24/00180/FUL,"Installation of new windows, double doors and roller shutter on the studio/office space",2024-03-18,local-authority:DNC,,,,
24/00181/FUL,Erection of single storey extension to the rear following demolition of existing.,2024-03-18,local-authority:DNC,,,,
24/00184/FUL,Erection of a rear dormer roof extension and replacement of roof tiles,2024-04-03,local-authority:DNC,,,,
24/00189/TPO,"Application to undertake various pruning on a Beech tree, identified as T277 within Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley
",2024-03-13,local-authority:DNC,,,,
24/00191/TPO,"T1,2 & 3; 3x Sycamores beyond northern boundary of property; reduce back all overhang of number 5 & 7 Millstream to within 2.5-3 meters of boundary to all heights. The trees in this Woodland (W1) forms part of TPO DMBC/TPO/00207 - Doncaster Borough Council Tree Preservation Order (No.207) 1999 Sprotbrough Village.",2024-04-18,local-authority:DNC,,,,
24/00194/FUL,Erection of a two storey extension to rear,2024-03-27,local-authority:DNC,,,,
24/00197/FUL,Erection of a two storey extension to the rear of a semi-detached house.,2024-03-05,local-authority:DNC,,,,
24/00198/FUL,Replacement of shop front and associated renovation works to the frontage of the building,2024-04-04,local-authority:DNC,,,,
24/00199/FUL,"Change of use of land for the keeping of horses (personal use) and the erection of associated barn, stables and outdoor riding arena",2024-06-04,local-authority:DNC,,,,
24/00200/FULM,Construction of link road between the roundabout at Waggons Way and East Lane Stainforth to provide connectivity for the West onto the Hatfield link road and improve access to the M18 and adjoining arterial routes.,2024-08-22,local-authority:DNC,,,,
24/00201/FUL,"Erection of extensions and alterations to form new dwelling at Kirkholme, Old Denaby (Without compliance of Condition 2 of 14/02554/FUL granted on 03/11/2015 (Approved Plans)",2024-04-30,local-authority:DNC,,,,
24/00202/OHL,Rebuild of 66kV Overhead Line from Doncaster to Brodsworth,2024-02-29,local-authority:DNC,,,,
24/00205/FUL,Erection of a new Veterinarian Repository and Examination Stable Block to replace existing on site facility and adjustment to southern line of existing enclosing fence line,2024-06-05,local-authority:DNC,,,,
24/00206/FUL,"Section 73 Application to vary condition 2 and remove conditions 4, 5 and 9 of planning application 22/01868/FUL - to change the approved plans by increasing the roof height, change the roof to a flat roof instead and using a modular building technique, and to discharge the requirements of conditions 4 (soft landscaping), condition 5 (contaminated land) and condition 9 (drainage)",2024-04-08,local-authority:DNC,,,,
24/00211/FUL,Retention and continuation of use of land as a car park,2024-06-19,local-authority:DNC,,,,
24/00212/FUL,Erection of a single storey side extension to replace existing conservatory,2024-03-27,local-authority:DNC,,,,
24/00214/FUL,Erection of an ancillary B8 storage building and associated infrastructure,2024-05-28,local-authority:DNC,,,,
24/00221/PRIOR,Notification to determine if prior approval is required for change of use of agricultural building to 4 residential dwellings,2024-03-26,local-authority:DNC,,,,
24/00225/FUL,Erection of single storey extensions to rear,2024-04-15,local-authority:DNC,,,,
24/00228/FUL,Installation of a ground mounted solar array to the rear.,2024-03-20,local-authority:DNC,,,,
24/00233/FUL,Erection of a two storey extension to side.,2024-03-15,local-authority:DNC,,,,
24/00236/TPO,To crown Clean the row of limes and remove 1 with decay.  Removal of 1 limb from a Beech tree and remove 1 dead tree. The trees are subject to (G1) forms part of TPO DMBC/TPO/00065 - Doncaster Borough Council Tree Preservation Order (No.65) 1994 Arksey,2024-03-25,local-authority:DNC,,,,
24/00237/FUL,Erection of a single storey extension to rear following demolition of the existing conservatory,2024-03-27,local-authority:DNC,,,,
24/00241/FUL,"Erection of 1 no. detached dwelling (C3) on garden land with associated external works, following demolition of existing outbuildings",2024-04-23,local-authority:DNC,,,,
24/00247/FUL,"Erection of single storey extensions to the front and rear, following demolition of the existing conservatory and utility room.",2024-03-14,local-authority:DNC,,,,
24/00248/FUL,Erection of garage to replace existing garage and formation of chimney stack to side of house,2024-04-29,local-authority:DNC,,,,
24/00249/FUL,Demolish existing rear extension &  lean-to & erect new rear ground floor extension,2024-04-15,local-authority:DNC,,,,
24/00253/FUL,"External alterations to existing building including replacement of existing fascia, installation of two louvres to the rear and new/replacement windows/door to the side elevation",2024-04-23,local-authority:DNC,,,,
24/00254/ADV,"Display of three externally illuminated fascia signs (height 0.65m, width 2.3m, depth 0.1m) (height 0.65m, width 5.2m, depth 0.1m) (height 0.65m, width 4.6m, depth 0.1m). Two externally illuminated projecting signs (height 0.35m, width 0.6m, depth 0.1m). Displayed in the ground floor windows will be a suspended externally illuminated directory of services (height 1.6m, width 0.6m, depth 0.1m) and two marketing posters (height 0.9m, width 0.6m, depth 0.1m). An A4 opening hours sign and A5 CCTV sign will be positioned on the main entrance.",2024-04-09,local-authority:DNC,,,,
24/00258/FUL,"Installation of two rapid electric vehicle charging stations within two existing parking bays and associated equipment
",2024-03-18,local-authority:DNC,,,,
24/00259/FUL,Creation of a new access and change of use to car wash and associated operations including installation of canopy.,2024-05-02,local-authority:DNC,,,,
24/00261/FUL,"Erection of a detached Garage/W.C/Utility, after the demolition of the existing detached Garage.",2024-04-02,local-authority:DNC,,,,
24/00263/ADV,"Installation of 1x 42"" LCD media screen size-860(W)x2160(H)mm Screen size-530(W)x930(H) mm, & 4nos x 1250mm x 700mm flagpole signs 3350mm in height.(Retrospective).",2024-04-03,local-authority:DNC,,,,
24/00264/FUL,Erection of detached dwelling with attached garage (being resubmission of planning application 21/00733/FUL  granted on 07.07.2021),2024-07-15,local-authority:DNC,,,,
24/00266/LBC,Listed Building Consent for Barn conversion into a single dwelling with associated works including extension,2024-04-30,local-authority:DNC,,,,
24/00267/LBC,Installation of a door to replace a security barrier (Retrospective).,2024-04-09,local-authority:DNC,,,,
24/00269/TPO,Application to remove several limbs that are overhanging a neighbouring property; the tree is subject to a Woodland (W9) and forms part of TPO 74/24/DRDC/18 - Doncaster Rural District Council Tree Preservation Order (No.18) 1972 Campsall with Sutton.,2024-03-25,local-authority:DNC,,,,
24/00270/FUL,"Erection of extension to rear of house and extension to side to replace existing semi circular extension, and off-white render of entire house",2024-03-27,local-authority:DNC,,,,
24/00272/FUL,Erection of a single storey pitched roof extension to rear,2024-04-03,local-authority:DNC,,,,
24/00276/FUL,"Erection of a two storey extension to rear, alteration to roof in connection with formation of rooms in roofspace including two pitched roof dormer windows to front elevation and formation of new vehicular access to classified road (C22) (PART RETROSPECTIVE)",2024-04-15,local-authority:DNC,,,,
24/00277/FUL,Replacement of steel security shutter with aluminium framed entrance door in the front elevation of the building. (Retrospective),2024-04-09,local-authority:DNC,,,,
